UPC,href,price,title,unit
0003320009471,https://www.kroger.com/product/images/medium/front/0003320009471,$8.79,Arm & Hammer for Sensitive Skin Free and Clear Liquid Laundry Detergent,150 fl oz
0003320097242,https://www.kroger.com/product/images/medium/front/0003320097242,$8.79,Arm & Hammer Plus OxiClean Stain Fighter with Odor Blasters Fresh Burst Laundry Detergent,122.5 fl oz
0003320094209,https://www.kroger.com/product/images/medium/front/0003320094209,$8.79,Arm & Hammer Plus OxiClean 5-in-1 Power Paks Fresh Scent Concentrated Laundry Detergent 40 Count,40 ct
0003700020826,https://www.kroger.com/product/images/medium/front/0003700020826,$10.99,Dreft Stage 1 Newborn Baby Liquid Laundry Detergent,50 fl oz
0007261373917,https://www.kroger.com/product/images/medium/front/0007261373917,$10.99,All Stainlifters Oxi Liquid Laundry Detergent,36 fl oz
0007261373935,https://www.kroger.com/product/images/medium/front/0007261373935,$10.99,All Stainlifters Original Liquid Laundry Detergent,40 fl oz
0007261346210,https://www.kroger.com/product/images/medium/front/0007261346210,$10.99,All Oxi with Stainlifters Oxi Liquid Laundry Detergent,162 fl oz
0003700032906,https://www.kroger.com/product/images/medium/front/0003700032906,$16.99,Gain Island Fresh Liquid Laundry Detergent,165 fl oz
0003700032910,https://www.kroger.com/product/images/medium/front/0003700032910,$16.99,Gain Moonlight Breeze Liquid Laundry Detergent,165 fl oz
0003700032980,https://www.kroger.com/product/images/medium/front/0003700032980,$16.99,Gain Original Scent Liquid Laundry Detergent,165 fl oz
0003320009331,https://www.kroger.com/product/images/medium/front/0003320009331,$4.49,Arm & Hammer Sensitive Skin Free & Clear Liquid Laundry Detergent,75 fl oz
0003700055619,https://www.kroger.com/product/images/medium/front/0003700055619,$4.49,Tide Simply + Oxi Refreshing Breeze Liquid Laundry Detergent,150 fl oz
0003700057471,https://www.kroger.com/product/images/medium/front/0003700057471,$4.49,Tide Free & Gentle Liquid Laundry Detergent,154 fl oz
0003700057523,https://www.kroger.com/product/images/medium/front/0003700057523,$4.49,Tide Plus Ultra Oxi Liquid Laundry Detergent,154 fl oz
0003700060554,https://www.kroger.com/product/images/medium/front/0003700060554,$4.49,Tide Original Liquid Laundry Detergent,154 fl oz
0003700060567,https://www.kroger.com/product/images/medium/front/0003700060567,$4.49,Tide Plus A Touch of Downy April Fresh Liquid Laundry Detergent,154 fl oz
0003700091734,https://www.kroger.com/product/images/medium/front/0003700091734,$21.99,Tide PODS Plus Febreze Botanical Rain Scent Laundry Detergent Pacs,61 ct
0003700091781,https://www.kroger.com/product/images/medium/front/0003700091781,$21.99,Tide PODS Spring Meadow Laundry Detergent Pacs 81 Count,81 ct
0003700091792,https://www.kroger.com/product/images/medium/front/0003700091792,$20.99,Gain Flings! + Aroma Boost Original 3-In-1 Laundry Detergent Pacs 81 Count,81 ct
0003700091798,https://www.kroger.com/product/images/medium/front/0003700091798,$21.99,Tide PODS Free & Gentle Laundry Detergent Pacs 81 Count,81 ct
0003700093045,https://www.kroger.com/product/images/medium/front/0003700093045,$21.99,Tide PODS Original 3 in 1 Liquid Laundry Detergent Pacs 81 Count,81 ct
0007261346139,https://www.kroger.com/product/images/medium/front/0007261346139,$21.99,All with Stainlifters Free Clear Liquid Laundry Detergent,162 fl oz
0007261373945,https://www.kroger.com/product/images/medium/front/0007261373945,$8.99,All with Stainlifters Free Clear Liquid Laundry Detergent,88 fl oz
0003700008875,https://www.kroger.com/product/images/medium/front/0003700008875,$8.99,Tide Original Liquid Laundry Detergent,50 fl oz
